Project,Client,Title,Duration
SOS1819-12,,#12 Conjunto de pruebas de Postman,03:10:07
SOS1819-12,,#6 Primera tarea del curso,00:23:07
SOS1819-12,,#9 Realizar tracking de tiempo,03:02:17
SOS1819-12,,API REST life-expectancy-stats,05:15:34
SOS1819-12,,Clonar repositorio en c9,00:20:43
SOS1819-12,,Completar plantilla de trabajo,00:03:40
SOS1819-12,,Configuración Toggl Button,00:10:25
SOS1819-12,,realización propia de mi feedback,03:21:08
SOS1819-12,,Realización SOS1819-12-AJM,02:31:58
SOS1819-12,,Sincronizar repositorio del grupo con c9,00:50:55
SOS1819-12,,,00:00:36
,,Documento sin título,927:17:56
,,,00:28:07
